boleta,codigo_manzano,numero_hogar,municipio,distrito,barrio,otb,forma_de_residencia,tipo_de_vivienda,tenencia_de_la_vivienda,numero_miembros_en_el_hogar,persona_jefe,relacion_de_parentesco_13,jentrevistado,jefe_sexo,jefe_edad_anios,jefe_estado_civil,jefe_nivel_de_instruccion,jefe_ultimo_curso_aprobado,jefe_idioma_o_lengua_materna,jefe_departamento_de_nacimiento,jefe_provincia_de_nacimiento,jefe_municipio_de_nacimiento,jefe_localidad_de_nacimiento,jefe_pais_de_nacimiento,jefe_ciudad_de_nacimiento,jefe_departamento_de_residencia_2010,jefe_provincia_de_residencia_2010,jefe_municipio_de_residencia_2010,jefe_localidad_de_residencia_2010,jefe_pais_de_residencia_2010,jefe_ciudad_de_residencia,jefe_tiempo_de_residencia_anios,jefe_condicion_de_actividad,jefe_ocupacion_principal,jefe_categoria_ocupacional,jefe_rama_de_actividad,jefe_ocupacion_secundaria,persona,relacion_de_parentesco_40,entrevistado,sexo,edad_anios,estado_civil,p08nivel,p08curso,idioma_o_lengua_materna,departamento_de_nacimiento,provincia_de_nacimiento,municipio_de_nacimiento,localidad_de_nacimiento,pais_de_nacimiento,ciudad_de_nacimiento,departamento_de_residencia_2010,provincia_de_residencia_2010,municipio_de_residencia_2010,localidad_de_residencia_2010,pais_de_residencia_2010,ciudad_de_residencia_2010,tiempo_de_residencia_anios,condicion_de_actividad,ocupacion_principal,categoria_ocupacional,rama_de_actividad,ocupacion_secundaria,numero_de_miembros_que_trabajan,religion_de_entrevistado,identificacion_con_pueblo_originario,practica_de_q_hoa_y_challa,participacion_en_actividades_de_otb,participacion_en_organizaciones_gremiales,participacion_en_organizaciones_politicas,participacion_en_org_recreativas_y_deportivas,participacion_en_organizaciones_religiosas,participacion_en_org_culturales_o_folkloricas,percepcion_de_seguridad_del_municipio,lugar_mas_peligroso_o_inseguro,municipio_donde_se_localiza_el_lugar_inseguro,inseguridad_de_parques_plazas_plazuelas_calles_puentes,cual_parque_plaza_o_calle,inseguridad_de_mercados,cual_mercado,inseguridad_de_espacios_deportivos,cual_espacio_deportivo,inseguridad_de_lotes_baldios,dejar_de_frecuentar_por_inseguridad,tipos_de_hechos_mas_frecuentes,lugar_que_le_genera_miedo_cine,cual_cine,lugar_que_le_genera_miedo_universidades,cual_universidad,lugar_que_le_genera_miedo_disc,cual_discoteca_local,lugar_que_le_genera_miedo_tilines_cafe_internet,cual_tilin_o_cafe_internet,percepcion_sobre_seguridad_del_transporte_publico,transporte_publico_inseguro,percepcion_sobre_seguridad_del_barrio,hecho_de_inseguridad_en_el_barrio_en_los_ultimos_12_meses,tipo_de_hecho_ocurrido_100,tipo_de_hecho_ocurrido_101,existencia_el_el_barrio_de_personas_que_cometen_delito,existencia_el_el_barrio_de_inhaladores_de_clefa,existencia_el_el_barrio_de_actividades_pandilleras,nombre_de_las_pandillas,venta_de_drogas_en_el_barrio,hecho_de_violencia_en_los_ultimos_doce_meses,numero_de_veces,tipo_de_hecho,medios_utilizados_en_el_hecho_de_violencia_110,numero_de_personas_que_operaron_el_hecho,lugar_en_que_ocurrio_el_hecho_112,municipio_en_que_ocurrio_el_hecho_113,horario_en_que_ocurrio_el_hecho,acciones_realizadas_ante_el_hecho_115,institucion_a_la_que_acudion,otro_miembro_del_hogar_que_sufrio_hecho_de_violencia,parentesco_con_el_entrevistado,tipo_de_hecho_de_violencia,medios_utilizados_en_el_hecho_de_violencia_120,lugar_en_que_ocurrio_el_hecho_121,municipio_en_que_ocurrio_el_hecho_122,acciones_realizadas_ante_el_hecho_123,grupos_de_edad_de_mayor_propension_a_ser_victimas,caracteristicas_de_las_personas_que_generan_miedo,factores_que_inducen_a_cometer_delitos,institucion_responsable_de_la_seguridad_ciudadana,nivel_de_confianza_en_la_policia,nivel_de_confianza_en_el_gam,nivel_de_confianza_en_la_gobernacion,nivel_de_confianza_en_las_empresas_de_seguridad_privada,nivel_de_confianza_en_la_seguridad_vecinal_ot_bs,conocimiento_de_la_ley_integral_348,conocimiento_de_la_ley_264,conocimiento_de_la_ley_1008,conocimiento_de_la_ley_263,conocimiento_del_codigo_del_nino,conocimiento_de_la_ley_259,se_informa_por_medios_televisivos,medio_televisivo_por_el_que_se_informa,se_informa_por_medios_radiales,medio_radial_por_el_que_se_informa,se_informa_por_medios_escritos,medio_escrito_por_el_que_se_informa,se_informa_por_redes_sociales_o_internet,red_sociall_por_la_que_se_informa,principal_medio_por_el_que_se_entera_de_campanas_de_prevension,estrategias_utilizadas_para_prevenir_la_inseguridad_148,estrategias_utilizadas_para_prevenir_la_inseguridad_149,proteccion_de_la_vivienda_1,proteccion_de_la_vivienda_cerco_electrico,proteccion_de_la_vivienda_camaras_alarmas_portero_electronico,proteccion_de_la_vivienda_seguridad_privada,proteccion_de_la_vivienda_tener_perros,proteccion_de_la_vivienda_seguro_contra_robo,estrategias_para_porteger_la_vivienda,caracteristica_del_lugar_al_que_se_cambio_o_cambiaria,estrategias_uso_de_instrumentos_para_alertar_158,estrategias_uso_de_camaras_de_vigilancia,estrategias_carteles_inscripciones_en_la_pared,estrategias_munecos_colgados,estrategias_vigilancia_policial,estrategias_guardias_privados,estrategias_vigilancia_comunitaria_o_barrial,estrategias_cercar_el_barrio,estrategias_uso_de_instrumentos_para_alertar_166,estar_de_acuerdo_con_el_linchamiento,estar_de_acuerdo_con_la_pena_de_muerte,estar_de_acuerdo_con_la_castracion,estar_de_acuerdo_con_bloquear_caminos,estar_de_acuerdo_con_manifestaciones,estar_de_acuerdo_con_prohibir_ingreso_de_personas_ex,sentimiento_respecto_al_barrio,espacio_en_el_barrio_que_mas_frecuentan_los_vecinos,relacionamiento_con_los_vecinos_por_la_inseguridad
559,ci05,14,Cochabamba,9,Molle Molle,21 de Diciembre,Vivienda independiente,Habitaciones sueltas,Alquilada,8.0,1,Jefe(a) de Hogar,Entrevistado,Hombre,38.0,Casado(a),Secundaria,4,Quechua,Potosí,Rafael Bustillo,Uncía,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Tenía trabajo,Seguridad,“Empleado”,Banco,ninguna,1,Jefe(a) de Hogar,Entrevistado,Hombre,38.0,Casado(a),Secundaria,4,Quechua,Potosí,Rafael Bustillo,Uncía,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Tenía trabajo,Seguridad,“Empleado”,Banco,ninguna,1,Ninguna,Aymara,No,Si,No,No,Si,No,No,Seguro,Zona Sud,Cochabamba,Si,Molle Molle,Si,La Pampa,Si,Molle Molle,Si,Si,Robo o asalto,Si,NA,Si,UMSS,Si,NA,Si,NA,Inseguro,Todos,Seguro,Si,Robo,Asalto,Si,Si,Si,NA,Si,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Hermano(a),Robo o asalto,Armas blancas,Puente Acequia del barrio,Cercado,Acudir a alguna institución o  centro de salud,Todos,Compotamiento,Son malos,Todas,Poco,Poco,Poco,Poco,Poco,Si,No,Si,Si,Si,Si,Si,TVN,No,NA,No,NA,Si,Google,Medios televisivos,Comprar armas,No salir a altas horas de la noche y/o no salir solo,No,Si,Si,No,Si,No,No,No se cambiaría,Si,No,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Me siento identificado con mi barrio,Calles,Mayor relacionamiento
560,ci05,17,Cochabamba,9,Molle Molle,21 de Diciembre,Vivienda independiente,Casa independiente,Cedida por parentesco o Servicio,5.0,1,Jefe(a) de Hogar,Entrevistado,Hombre,45.0,Casado(a),Universitario,5,Quechua,Potosí,Rafael Bustillo,Uncía,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Tenía trabajo,Contador,“Cuenta propia”,Contador,ninguna,1,Jefe(a) de Hogar,Entrevistado,Hombre,45.0,Casado(a),Unversitario,5,Quechua,Potosí,Rafael Bustillo,Uncía,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Tenía trabajo,Contador,“Cuenta propia”,Contador,ninguna,1,Católica,Quechua,No,Si,No,No,Si,No,No,Inseguro,Aroma,Cochabamba,Si,Aroma,Si,La Pampa,No,NA,Si,Si,Agresión física,No,NA,Si,UMSS,Si,"Onix, del Barrio",No,NA,Seguro,Micro,Seguro,Si,Robo,Asalto,Si,No sabe,Si,NA,Si,Si,1,Robo o asalto,Ninguna,En grupo,C. Sta Cruz en Molle Molle,Cercado,14,Acudir a alguna institución o  centro de salud,"Policía, Módulo policial",No,NA,NA,NA,NA,NA,NA,Jóvenes,Vestimenta rota,Flojera,Todas,Poco,Ninguna,Ninguna,Ninguna,Ninguna,"Algo, muy poco",No,Si,No,Si,No,Si,Unitel,Si,Moda FM,Si,La Voz,Si,Watsapp,Medios televisivos,"Ninguna de las anteriores, nada",No salir a altas horas de la noche y/o no salir solo,Si,No,No,No,Si,Si,No,No se cambiaría,No,No,Si,No,No,No,No,No,No,Si,Si,Si,No,Si,Si,Me siento identificado con mi barrio,Canchas deportivas,Nunca tuve relación con los vecinos
561,ci06,1,Cochabamba,9,Tiquirani,Tiquirani,Vivienda independiente,Casa independiente,Propia,2.0,1,Jefe(a) de Hogar,Entrevistado,Mujer,43.0,Casado(a),Universitario,1,Aymara,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Sólo labores de casa,NA,NA,NA,NA,1,Jefe(a) de Hogar,Entrevistado,Mujer,43.0,Casado(a),Unversitario,1,Aymara,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Sólo labores de casa,NA,NA,NA,NA,2,Ninguna,Ninguno,No,Si,No,No,No,No,No,Depende de la zona,Centro,Cochabamba,Si,San Sebastián,Si,La Pampa,No,NA,Si,Si,Agresión física,No,NA,No,NA,Si,Los Molles,No,NA,Inseguro,Taxi,Seguro,No,NA,NA,Si,No sabe,No sabe,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Niños y  Adolescentes,Con Cicatrices,Pobreza,Todas,Ninguna,Bastante,Bastante,Ninguna,Mucha,No,No,No,No,No,No,Si,ATB,No,NA,Si,Opinión,No,NA,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,"Evitar calles vacías, lotes baldíos",Si,No,No,No,Si,No,No,No se cambiaría,Si,No,No,No,No,No,Si,No,No,No,Si,Si,Si,Si,Si,Me siento identificado con mi barrio,Calles,Mayor relacionamiento
562,ci06,3,Cochabamba,9,Tiquirani,Tiquirani,Vivienda independiente,Casa independiente,Alquilada,4.0,1,Jefe(a) de Hogar,Entrevistado,Mujer,20.0,Casado(a),Primaria,3,Quechua,Potosí,Charcas,Toro Toro,Puka Kasa,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Sólo labores de casa,NA,NA,NA,NA,1,Jefe(a) de Hogar,Entrevistado,Mujer,20.0,Casado(a),Primaria,3,Quechua,Potosí,Charcas,Toro Toro,Puka Kasa,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Sólo labores de casa,NA,NA,NA,NA,2,Ninguna,Ninguno,No,Si,No,No,Si,No,No,Seguro,Centro,Cochabamba,Si,Tiquirani,Si,La Cancha,Si,Tiquirani,Si,Si,Robo o asalto,No,NA,No,NA,No,NA,No,NA,Seguro,Taxi,Seguro,No,NA,Homicidio,No,No,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Todos,Con Cicatrices,No tienen dinero,Todas,Bastante,Bastante,Bastante,Bastante,Bastante,NA,NA,NA,NA,NA,NA,Si,Unitel,No,NA,No,NA,No,NA,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,No tomar taxi en la calle,No,No,No,No,Si,No,Si,Barrio o urbanización cerrada,Si,No,No,No,No,No,Si,No,NA,Si,No,No,Si,Si,Si,Me siento identificado con mi barrio,Canchas deportivas,Mayor relacionamiento
563,ci06,6,Cochabamba,9,Tiquirani,Tiquirani,Vivienda independiente,Casa independiente,Alquilada,1.0,1,Jefe(a) de Hogar,Entrevistado,Hombre,33.0,Soltero(a),Técnico superior,5,Aymara,Oruro,Nor Carangas,Santiago de Huata,WayllaMarka,NA,NA,NA,NA,NA,NA,España,Sevilla,8.0,Tenía trabajo,Conductor,“Empleado”,Transporte,ninguna,1,Jefe(a) de Hogar,Entrevistado,Hombre,33.0,Soltero(a),Técnico Superior,5,Aymara,Oruro,Nor Carangas,Santiago de Huata,WayllaMarka,NA,NA,NA,NA,NA,NA,España,Sevilla,8,Tenía trabajo,Conductor,“Empleado”,Transporte,ninguna,1,Evangélica,NA,Ocasionalmente,Si,No,No,Si,No,Si,Inseguro,Zona Sud,Cochabamba,Si,Todos,Si,La Pampa,Si,Tiquirani,Si,Si,Robo o asalto,No,NA,Si,UMSS,Si,Zona Sur,Si,NA,Inseguro,Taxi,Inseguro,Si,Robo,Asalto,Si,No,Si,NA,No sabe,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Todos,"Lentes oscuros, actitud sospechosa",Falta de dinero,"1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Poco,No sabe o no conoce,No sabe o no conoce,No sabe o no conoce,Bastante,No,No,33.0,"Algo, muy poco","Algo, muy poco",Si,Si,Unitel,No,NA,No,NA,No,NA,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,"Evitar calles vacías, lotes baldíos",Si,No,No,No,Si,No,No,Barrio o urbanización cerrada,Si,No se puede,No se puede,No se puede,No se puede,No,Si,No,No,Si,Si,Si,Si,Si,Si,Mis opiniones son bien recibidas,Canchas deportivas,Mayor relacionamiento
564,ci06,9,Cochabamba,9,Tiquirani,Tiquirani,Vivienda independiente,Casa independiente,Alquilada,7.0,1,Jefe(a) de Hogar,NA,Hombre,47.0,Casado(a),Primaria,5,Quechua,Potosí,Cornelio Saavedra,Tacobamba,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Tenía trabajo,Albañil,“Obrero”,Construcción,ninguna,2,"Esposa(o), Cónyuge o Pareja",Entrevistado,Mujer,37.0,Casado(a),Primaria,5,Quechua,Potosí,Cornelio Saavedra,Tacobamba,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Sólo labores de casa,NA,NA,NA,NA,1,Evangélica,Ninguno,No,Si,No,No,No,Si,No,Seguro,La Cancha,Cochabamba,No,NA,Si,La Pampa,No,NA,Si,No,Robo o asalto,No,NA,Si,UMSS,No,NA,No,NA,Inseguro,Todos,Inseguro,No sabe,NA,NA,Si,No,Si,NA,Si,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Todos,Con Cicatrices,Culpa del diablo,"1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Ninguna,Bastante,Bastante,Ninguna,Mucha,No,No,Si,No,No,Si,Si,Bolivisión,No,NA,No,NA,No,NA,Medios televisivos,NA,NA,No,No,No,No,No,No,No,Edificio de departamentos,No,No se puede,No,No,No,No se puede,Si,No,No,Si,No,Si,Si,Si,Si,Me siento identificado con mi barrio,Calles,Mayor relacionamiento
565,ci06,12,Cochabamba,9,Tiquirani,Tiquirani,Vivienda independiente,Casa independiente,Anticrético,7.0,1,Jefe(a) de Hogar,NA,Hombre,41.0,Casado(a),Técnico medio,5,Castellano,Cochabamba,Quillacollo,Quillacollo,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Tenía trabajo,Empresa,“Empleado”,Administración,ninguna,2,"Esposa(o), Cónyuge o Pareja",Entrevistado,Mujer,38.0,Casado(a),Técnico Medio,5,Castellano,Potosí,Rafael Bustillo,Llallagua,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Sólo labores de casa,NA,NA,NA,NA,1,Evangélica,Quechua,No,Si,No,No,No,No,No,Inseguro,Centro,Cochabamba,No,NA,Si,La Pampa,No,NA,Si,Si,Agresión física,No,NA,Si,UMSS,Si,NA,Si,NA,Inseguro,Taxi,Seguro,No,NA,NA,No,No,No sabe,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Niños y  Adolescentes,Andan mirando las casas,Quieren dinero,"Seguridad Vecinal, OTB",Ninguna,Ninguna,Ninguna,Ninguna,Mucha,No,No,Si,No,No,Si,Si,Red UNO,Si,Cristiana,No,NA,No,NA,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,"Evitar calles vacías, lotes baldíos",No,No,No,No,Si,No,Si,Barrio o urbanización cerrada,Si,No,No,No,No,No,Si,No,No,No,No,No,Si,Si,Si,Me siento identificado con mi barrio,Calles,Mayor aislamiento con los vecinos
566,ci06,14,Cochabamba,9,Tiquirani,Tiquirani,Vivienda independiente,Casa independiente,Propia,2.0,1,Jefe(a) de Hogar,Entrevistado,Mujer,27.0,Divorciado(a),Primaria,5,Quechua,Potosí,Tomas Frias,Tinguipaya,NA,NA,NA,Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,NA,NA,NA,NA,Tenía trabajo,Costurera,“Cuenta propia”,Costura,ninguna,1,Jefe(a) de Hogar,Entrevistado,Mujer,27.0,Divorciado(a),Primaria,5,Quechua,Potosí,Tomas Frias,Tinguipaya,NA,NA,NA,Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,NA,NA,NA,NA,Tenía trabajo,Costurera,“Cuenta propia”,Costura,ninguna,2,Ninguna,Quechua,No,Si,Si,No,Si,Si,No,Seguro,Barrio Chino,Cochabamba,Si,NA,Si,NA,Si,NA,Si,Si,Agresión sexual,Si,NA,Si,NA,Si,NA,No,NA,Inseguro,Taxi,Seguro,No,NA,NA,Si,No,Si,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Niños y  Adolescentes,Cicatrices y Tatuajes,Ambición,Todas,Ninguna,Mas o menos,Poco,Ninguna,Mas o menos,Si,No,Si,Si,No,Si,Si,Red UNO,Si,Centro,Si,La Voz,No,NA,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,"Evitar calles vacías, lotes baldíos",No,No,No,No,Si,No,Si,Barrio o urbanización cerrada,Si,No,No,No,No,No,Si,No,No,Si,Si,Si,Si,Si,Si,Me siento identificado con mi barrio,Calles,Mayor relacionamiento
567,ci06,15,Cochabamba,9,Tiquirani,Tiquirani,Vivienda independiente,Casa independiente,Propia,5.0,1,Jefe(a) de Hogar,Entrevistado,Hombre,52.0,Casado(a),Secundaria,2,Quechua,Cochabamba,Esteban Arze,Anzaldo,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Tenía trabajo,Chofer,“Empleado”,Transporte,1,1,Jefe(a) de Hogar,Entrevistado,Hombre,52.0,Casado(a),Secundaria,2,Quechua,Cochabamba,Esteban Arze,Anzaldo,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Tenía trabajo,Chofer,“Empleado”,Transporte,ninguna,2,Ninguna,Quechua,Si,Si,Si,No,Si,No,No,Depende de la zona,"Kara Kara, Río Calicanto",Cochabamba,No,NA,Si,Sta Bárbara,No,NA,Si,No,Agresión sexual,No,NA,Si,UMSS,Si,Filmaxim,No,NA,Seguro,Taxi,Seguro,No,NA,NA,No,No,Si,NA,Si,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Niños y  Adolescentes,Los Policías,Falta de traabajo,Todas,Poco,No sabe o no conoce,No sabe o no conoce,Ninguna,Bastante,"Algo, muy poco",No,No,Si,"Algo, muy poco","Algo, muy poco",Si,ATB,Si,Centro,Si,Los Tiempos,No,NA,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,"Evitar calles vacías, lotes baldíos",Si,No,No,No,No,No,No,Otro,Si,No,No,No,Si,No,Si,No,No,No,No,Si,Si,Si,Cuando es necesario,Me siento identificado con mi barrio,Otros,Mayor relacionamiento
568,ci06,16,Cochabamba,9,Tiquirani,Tiquirani,Vivienda independiente,Habitaciones sueltas,Propia,4.0,1,Jefe(a) de Hogar,Entrevistado,Mujer,49.0,Casado(a),Primaria,2,Quechua,Cochabamba,Mizque,Mizque,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,No trabajó,NA,NA,NA,NA,1,Jefe(a) de Hogar,Entrevistado,Mujer,49.0,Casado(a),Primaria,2,Aymara,13.0,Mizque,Mizque,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,No trabajó,NA,NA,NA,NA,1,Evangélica,Ninguno,No,Si,No,No,No,Si,No,Inseguro,Centro,Cochabamba,No,NA,Si,La Pampa,No,NA,Si,Si,Agresión sexual,No,NA,Si,UMSS,Si,La Pampa,No,NA,Seguro,Trufi,Seguro,Si,Robo,NA,No,No,No,NA,No sabe,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Adultos mayores,Con Cicatrices,"Borrachera, drogadicción","Seguridad Vecinal, OTB",Ninguna,Ninguna,Ninguna,Ninguna,Mucha,No,No,No,"Algo, muy poco",No,No,Si,ATB,No,NA,No,NA,No,NA,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,"Evitar calles vacías, lotes baldíos",No,No,No,No,No,No,No,Barrio o urbanización cerrada,Si,No,No,No,No,Si,Si,Si,No,No,No,No,No,Cuando es necesario,Si,Me siento identificado con mi barrio,Otros,Mayor relacionamiento
569,ci06,18,Cochabamba,9,Tiquirani,Tiquirani,Vivienda independiente,Casa independiente,Alquilada,5.0,1,Jefe(a) de Hogar,Entrevistado,Mujer,28.0,Conviviente,Secundaria,6,Aymara,La Paz,José Manuel Pando,Santiago de Machaca,NA,NA,NA,La Paz,Sud Yungas,NA,NA,NA,NA,NA,Atendió o ayudó en un negocio propio o familiar,Comercio,“Cuenta propia”,Refresco,ninguna,1,Jefe(a) de Hogar,Entrevistado,Mujer,28.0,Conviviente,Secundaria,6,Aymara,La Paz,José Manuel Pando,Santiago de Machaca,NA,NA,NA,La Paz,Sud Yungas,NA,NA,NA,NA,NA,Atendió o ayudó en un negocio propio o familiar,Comercio,“Cuenta propia”,Refresco,ninguna,1,Católica,Quechua,No,Si,No,No,Si,Si,No,Seguro,Tiquirani,Cochabamba,No,NA,Si,Tiquirani,No,NA,Si,Si,Robo o asalto,No,NA,No,NA,Si,NA,No,NA,Seguro,Trufi,Inseguro,Si,Peleas callejeras,Linchamiento,Si,No,No sabe,NA,No sabe,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Jóvenes,Con Cicatrices,Falta de Educación,Todas,Ninguna,Poco,Poco,Ninguna,Bastante,No,No,Si,"Algo, muy poco","Algo, muy poco","Algo, muy poco",Si,Unitel,No,NA,No,NA,No,NA,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,"Evitar calles vacías, lotes baldíos",Si,No,No,No,Si,No,No,Barrio o urbanización cerrada,No,No,No,No,No,No,Si,No,No,Cuando es necesario,No,Si,No,No,Si,Me siento identificado con mi barrio,"Plazas, plazuelas",Mayor relacionamiento
570,ci06,20,Cochabamba,9,Tiquirani,Tiquirani,Vivienda independiente,Casa independiente,Propia,6.0,1,Jefe(a) de Hogar,NA,Hombre,45.0,Casado(a),Sin instrucción,NA,Quechua,Potosí,Tomas Frias,Potosí,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Tenía trabajo,Alvañil,“Cuenta propia”,Construcción,ninguna,2,Hijo(a),Entrevistado,Hombre,18.0,Soltero(a),Secundaria,3,Castellano,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Sólo estudió,NA,NA,NA,NA,1,Ninguna,Quechua,Si,Si,No,No,Si,No,Si,Inseguro,La Coronilla,Cochabamba,Si,NA,Si,La Pampa,No,NA,Si,No,Robo o asalto,No,NA,No,NA,No,NA,No,NA,Seguro,Taxi,Inseguro,Si,Peleas callejeras,Asalto,Si,No,Si,NA,No sabe,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Jóvenes,Callejeros,Falta de dinero,Todas,Ninguna,Bastante,Bastante,Ninguna,Mucha,No,No,No,No,No,No,Si,Red UNO,No,NA,No,NA,No,NA,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,"Evitar calles vacías, lotes baldíos",Si,No,No,No,No,No,Si,Barrio o urbanización cerrada,Si,No,No,No se puede,No se puede,No se puede,Si,No,No,Cuando es necesario,Si,Si,No,Si,Si,Me siento identificado con mi barrio,Canchas deportivas,Mayor relacionamiento
571,ci07,1,Cochabamba,9,Palta Orko,Palta Orko,Vivienda independiente,Casa independiente,Propia,8.0,1,Jefe(a) de Hogar,Entrevistado,Mujer,72.0,Casado(a),Sin instrucción,0,Aymara,Cochabamba,Mizque,Mizque,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Sólo labores de casa,NA,NA,NA,NA,1,Jefe(a) de Hogar,Entrevistado,Mujer,72.0,Casado(a),Sin instrucción,0,Aymara,Cochabamba,Mizque,Mizque,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Sólo labores de casa,NA,NA,NA,NA,2,Evangélica,Quechua,No,Si,No,Si,No,Si,No,Seguro,Centro,Cochabamba,Si,Pte Tamborada,No,NA,Si,Villa Rosario,No,No,Agresión sexual,No,NA,No,NA,Si,Palta Orko,No,NA,Inseguro,Trufi,Seguro,Si,Violación,Otro,No sabe,Si,Si,NA,Si,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Jóvenes,Varones jóvenes con canguros,Drogadicción,Todas,Poco,Poco,Poco,Poco,Poco,No,No,No,No,No,No,Si,Unitel,No,NA,No,NA,No,NA,Ninguno,No salir a altas horas de la noche y/o no salir solo,NA,No,No,No,No,Si,No,No,No se cambiaría,Si,No,No,No,Si,No,No,No,No,No,Si,Si,Si,Si,Si,Me siento identificado con mi barrio,Otros,Mayor relacionamiento
572,ci07,2,Cochabamba,9,Palta Orko,Palta Orko,Vivienda independiente,Casa independiente,Propia,7.0,1,Jefe(a) de Hogar,NA,Hombre,56.0,Casado(a),Primaria,2,Quechua,Cochabamba,Mizque,Mizque,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Tenía trabajo,Albañil,“Jornalero”,Construcción,1,2,"Esposa(o), Cónyuge o Pareja",Entrevistado,Mujer,52.0,Casado(a),Primaria,2,Quechua,Cochabamba,Mizque,Mizque,NA,NA,NA,Cochabamba,Cercado,Cochabamba,NA,NA,NA,NA,Sólo labores de casa,NA,NA,NA,NA,3,Evangélica,Quechua,No,No,No,No,No,Si,No,Inseguro,La Cancha,Cochabamba,Si,Av República,Si,La Cancha,No,NA,Si,No,Agresión física,No,NA,No,NA,No,NA,Si,NA,Inseguro,Radio Taxi,Seguro,No,NA,NA,Si,No,Si,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Niños y  Adolescentes,Cleferos,Familia no educa a los hijos,Ninguna o no existe,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,No,No,No,No,No,No,Si,Unitel,No,NA,No,NA,No,NA,Medios televisivos,Otros,"Ninguna de las anteriores, nada",No,No,No,No,No,No,No,No se cambiaría,Si,No,No,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Mis opiniones son bien recibidas,Parques,Mayor relacionamiento
